country,year,sex,gender_female,gender_male,age,suicides,population,na.rm
Virgin Islands (USA),2010,female,female,male,15-24 years,0,6946,TRUE
Virgin Islands (USA),2010,female,female,male,25-34 years,1,6553,TRUE
Virgin Islands (USA),2010,female,female,male,35-54 years,2,15632,TRUE
Virgin Islands (USA),2010,female,female,male,5-14 years,0,7060,TRUE
Virgin Islands (USA),2010,female,female,male,55-74 years,0,12740,TRUE
Virgin Islands (USA),2010,female,female,male,75+ years,0,2651,TRUE
Virgin Islands (USA),2010,male,female,male,15-24 years,0,6463,TRUE
Virgin Islands (USA),2010,male,female,male,25-34 years,1,5472,TRUE
Virgin Islands (USA),2010,male,female,male,35-54 years,2,14141,TRUE
Virgin Islands (USA),2010,male,female,male,5-14 years,0,7510,TRUE
Virgin Islands (USA),2010,male,female,male,55-74 years,1,11537,TRUE
Virgin Islands (USA),2010,male,female,male,75+ years,1,1953,TRUE
Virgin Islands (USA),2011,female,female,male,15-24 years,0,6883,TRUE
Virgin Islands (USA),2011,female,female,male,25-34 years,0,6376,TRUE
Virgin Islands (USA),2011,female,female,male,35-54 years,0,15382,TRUE
Virgin Islands (USA),2011,female,female,male,5-14 years,0,6961,TRUE
Virgin Islands (USA),2011,female,female,male,55-74 years,1,13041,TRUE
Virgin Islands (USA),2011,female,female,male,75+ years,1,2790,TRUE
Virgin Islands (USA),2011,male,female,male,15-24 years,0,6553,TRUE
Virgin Islands (USA),2011,male,female,male,25-34 years,1,5271,TRUE
Virgin Islands (USA),2011,male,female,male,35-54 years,2,13857,TRUE
Virgin Islands (USA),2011,male,female,male,5-14 years,0,7400,TRUE
Virgin Islands (USA),2011,male,female,male,55-74 years,3,11730,TRUE
Virgin Islands (USA),2011,male,female,male,75+ years,0,2046,TRUE
Virgin Islands (USA),2012,female,female,male,15-24 years,0,6833,TRUE
Virgin Islands (USA),2012,female,female,male,25-34 years,1,6185,TRUE
Virgin Islands (USA),2012,female,female,male,35-54 years,1,15126,TRUE
Virgin Islands (USA),2012,female,female,male,5-14 years,0,6929,TRUE
Virgin Islands (USA),2012,female,female,male,55-74 years,2,13364,TRUE
Virgin Islands (USA),2012,female,female,male,75+ years,0,2940,TRUE
Virgin Islands (USA),2012,male,female,male,15-24 years,2,6663,TRUE
Virgin Islands (USA),2012,male,female,male,25-34 years,2,5061,TRUE
Virgin Islands (USA),2012,male,female,male,35-54 years,2,13542,TRUE
Virgin Islands (USA),2012,male,female,male,5-14 years,0,7334,TRUE
Virgin Islands (USA),2012,male,female,male,55-74 years,0,11957,TRUE
Virgin Islands (USA),2012,male,female,male,75+ years,0,2135,TRUE
Virgin Islands (USA),2015,female,female,male,15-24 years,0,6675,TRUE
Virgin Islands (USA),2015,female,female,male,25-34 years,0,5662,TRUE
Virgin Islands (USA),2015,female,female,male,35-54 years,0,14278,TRUE
Virgin Islands (USA),2015,female,female,male,5-14 years,0,7099,TRUE
Virgin Islands (USA),2015,female,female,male,55-74 years,0,14269,TRUE
Virgin Islands (USA),2015,female,female,male,75+ years,0,3508,TRUE
Virgin Islands (USA),2015,male,female,male,15-24 years,0,6933,TRUE
Virgin Islands (USA),2015,male,female,male,25-34 years,2,4609,TRUE
Virgin Islands (USA),2015,male,female,male,35-54 years,1,12516,TRUE
Virgin Islands (USA),2015,male,female,male,5-14 years,0,7291,TRUE
Virgin Islands (USA),2015,male,female,male,55-74 years,0,12615,TRUE
Virgin Islands (USA),2015,male,female,male,75+ years,0,2496,TRUE
